ACCESSION: CB000243
RECORD_TITLE: lomatin; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Coumarins
CH$NAME: lomatin
CH$COMPOUND_CLASS: Benzopyranoids
CH$FORMULA: C14H14O4
CH$EXACT_MASS: 246.26528000000002
CH$SMILES: CC1(C)Oc2ccc3ccc(=O)oc3c2CC1O
CH$IUPAC: InChI=1S/C14H14O4/c1-14(2)11(15)7-9-10(18-14)5-3-8-4-6-12(16)17-13(8)9/h3-6,11,15H,7H2,1-2H3
CH$LINK: CAS 5325-40-6
CH$LINK: PUBCHEM CID:522218
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0002-0190000000-49939c268dcb4fc02c4f
PK$NUM_PEAK: 106
PK$PEAK: m/z int. rel.int.
  100.4000 236202.0313 21
  100.5000 376212.0313 34
  100.6000 278723.5938 25
  100.7000 306207.0625 27
  100.8000 290131.7500 26
  174.3000 233090.7031 21
  174.4000 1005479.1250 94
  174.5000 1282388.0000 120
  174.6000 1543480.7500 145
  174.7000 1447029.3750 135
  174.8000 1745198.6250 164
  174.9000 2039479.0000 192
  175.0000 1530257.1250 143
  175.1000 1398025.8750 131
  175.2000 1122154.1250 105
  175.3000 997960.1250 93
  175.4000 578189.3750 53
  175.5000 242165.4531 21
  186.5000 268352.5000 24
  186.6000 360914.6563 33
  186.7000 331875.5313 30
  186.8000 384508.9375 35
  186.9000 258240.6719 23
  187.0000 292206.0313 26
  187.1000 318393.0938 29
  187.2000 375434.1875 34
  187.3000 292465.3125 26
  200.6000 357284.7813 32
  200.7000 322541.5313 29
  200.8000 352358.5000 32
  200.9000 287539.0313 26
  201.0000 311133.3438 28
  201.1000 259277.7656 23
  201.2000 388916.6250 35
  201.4000 339653.8438 31
  228.4000 442068.6250 40
  228.5000 1154564.1250 108
  228.6000 1445214.2500 135
  228.7000 1520404.8750 142
  228.8000 1622041.6250 152
  228.9000 1665859.7500 156
  229.0000 1834649.5000 172
  229.1000 1573038.2500 147
  229.2000 1351614.8750 126
  229.3000 1451696.2500 136
  229.4000 1264757.0000 118
  229.5000 517259.1563 47
  229.6000 272241.6563 24
  229.7000 279242.1563 25
  229.8000 326430.7188 29
  229.9000 248647.3750 22
  230.0000 280279.2813 25
  230.1000 242424.7031 21
  246.2000 393324.3750 36
  246.3000 2663301.5000 251
  246.4000 7560279.0000 714
  246.5000 8977233.0000 848
  246.6000 9325962.0000 881
  246.7000 9396227.0000 888
  246.8000 9281107.0000 877
  246.9000 9614020.0000 909
  247.0000 10562717.0000 999
  247.1000 8370781.5000 791
  247.2000 8893744.0000 840
  247.3000 8308814.0000 785
  247.4000 7510759.0000 710
  247.5000 4835271.0000 456
  247.6000 3687967.0000 348
  247.7000 3188338.5000 300
  247.8000 3307865.2500 312
  247.9000 3539141.5000 334
  248.0000 4292602.5000 405
  248.1000 2794755.2500 263
  248.2000 2504623.2500 236
  248.3000 2728638.7500 257
  248.4000 2056072.7500 193
  248.5000 959587.0625 89
  248.6000 590894.0625 54
  248.7000 458403.1563 42
  248.8000 376989.8750 34
  248.9000 355210.5625 32
  249.0000 505332.3438 46
  249.1000 563669.8750 52
  249.2000 345617.2500 31
  249.3000 615525.5000 57
  249.4000 365840.9375 33
  288.0000 248128.8438 22
  288.1000 252018.0000 22
  288.2000 273278.7813 24
  288.3000 298947.2813 27
  288.4000 273538.0625 24
  492.4000 303873.5625 27
  492.5000 527111.7500 48
  492.6000 774462.6875 72
  492.7000 718458.7500 67
  492.8000 790797.1875 73
  492.9000 920695.4375 86
  493.0000 904101.6250 84
  493.1000 826059.0625 77
  493.2000 709124.8125 66
  493.3000 724422.1250 67
  493.4000 329282.7500 30
  493.5000 304392.1250 27
  493.6000 318133.8438 29
  493.8000 275871.5313 25
  494.0000 296873.0938 27
//
