ACCESSION: CB000369
RECORD_TITLE: Hydrocortisone acetate; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Animal, Pregnanes
CH$NAME: Hydrocortisone acetate
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C23H32O6
CH$EXACT_MASS: 404.50789000000003
CH$SMILES: CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(O)C[C@@]21C
CH$IUPAC: InChI=1S/C23H32O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-18,20,26,28H,4-9,11-12H2,1-3H3/t16?,17?,18?,20?,21-,22-,23-/m0/s1
CH$LINK: CAS 50-03-3
CH$LINK: PUBCHEM CID:5542 92194
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0pb9-0001900020-99a4f381f638782fab4d
PK$NUM_PEAK: 128
PK$PEAK: m/z int. rel.int.
  121.1000 51243.6602 25
  134.8000 59784.2773 30
  134.9000 79105.6406 40
  135.0000 81205.7969 41
  135.1000 42002.9961 21
  135.2000 65524.6914 33
  135.4000 42283.0195 21
  148.5000 54043.8945 27
  186.8000 45923.2813 23
  189.0000 53343.8086 26
  220.8000 64544.6094 32
  220.9000 148970.6406 77
  221.2000 72245.1563 36
  240.6000 52503.7578 26
  251.2000 58104.1445 29
  266.8000 45083.2227 22
  279.1000 59784.2656 30
  280.6000 65244.6602 33
  280.8000 43263.0898 21
  290.7000 46203.3047 23
  290.8000 58524.1836 29
  290.9000 46343.3086 23
  291.1000 52643.7617 26
  308.5000 57404.1016 29
  308.6000 98987.0703 50
  308.7000 206374.7813 107
  308.8000 130489.3203 67
  308.9000 244177.4531 127
  309.0000 179772.8438 93
  309.1000 187333.3906 97
  309.2000 194053.8594 100
  309.3000 117748.3984 60
  309.4000 189433.5313 98
  309.5000 77985.5781 39
  309.6000 60204.3008 30
  310.3000 52223.7266 26
  326.5000 72245.1719 36
  326.6000 155831.1406 80
  326.7000 130349.2969 67
  326.8000 190553.6094 98
  326.9000 143230.2500 74
  327.0000 76165.4453 38
  327.1000 146310.4531 75
  327.2000 137209.7813 70
  327.3000 111167.9375 57
  327.4000 143790.2656 74
  327.7000 44243.1602 22
  327.8000 46343.3086 23
  327.9000 45083.2227 22
  328.0000 46063.2891 23
  344.9000 44523.1797 22
  345.3000 51523.6758 26
  368.7000 42143.0039 21
  368.8000 54463.8945 27
  369.0000 64124.5742 32
  369.3000 50543.6055 25
  384.9000 111447.9609 57
  385.0000 78405.6094 40
  404.3000 102487.3125 52
  404.4000 255938.2969 133
  404.5000 992111.0000 519
  404.6000 1455264.0000 762
  404.7000 1643857.2500 861
  404.8000 1403460.2500 734
  404.9000 1626216.5000 851
  405.0000 1906936.2500 999
  405.1000 1543890.3750 808
  405.2000 1841971.5000 964
  405.3000 1701401.2500 891
  405.4000 1566292.0000 820
  405.5000 940307.1875 492
  405.6000 544778.9375 284
  405.7000 620244.3125 324
  405.8000 566200.5000 295
  405.9000 551919.4375 288
  406.0000 534838.1875 279
  406.1000 565920.5000 295
  406.2000 497735.6250 260
  406.3000 466653.3438 243
  406.4000 459232.8125 239
  406.5000 286320.4375 149
  406.6000 117468.3906 60
  406.7000 97026.9219 49
  406.8000 106127.5703 54
  406.9000 85966.1484 44
  407.0000 112568.0234 58
  407.1000 98707.0391 50
  407.2000 126989.0547 65
  407.3000 65804.7031 33
  407.4000 57824.1289 29
  420.7000 47043.3594 23
  421.4000 54463.8867 27
  445.5000 53903.8477 27
  445.6000 77005.5078 39
  445.7000 82605.8984 42
  445.8000 80925.7813 41
  446.0000 73365.2422 37
  446.1000 61044.3516 31
  446.2000 79525.6797 40
  446.4000 45783.2656 23
  808.4000 55163.9414 27
  808.5000 152890.9063 79
  808.6000 278339.8438 144
  808.7000 235356.7813 122
  808.8000 451112.2188 235
  808.9000 289960.6875 151
  809.0000 318802.8125 166
  809.1000 367386.2500 191
  809.2000 373546.6875 194
  809.3000 291360.7813 151
  809.4000 264198.8438 137
  809.5000 208194.8750 108
  809.6000 144770.3281 74
  809.7000 152750.9063 79
  809.8000 201754.4219 104
  809.9000 187613.4219 97
  810.0000 187333.3906 97
  810.1000 243057.3750 126
  810.2000 166611.9063 86
  810.3000 117468.3828 60
  810.4000 117608.3906 60
  810.5000 69164.9375 35
  810.7000 81625.8359 41
  810.8000 61044.3633 31
  810.9000 223315.9531 116
  811.0000 76585.4688 39
  811.1000 89886.4219 46
  811.3000 47883.4219 24
//
