ACCESSION: NGA00140
RECORD_TITLE: Dihydroqinghaosu, Dihydroartemisinin.; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Sesquiterpenoids
CH$NAME: Dihydroqinghaosu, Dihydroartemisinin.
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C15H24O5
CH$EXACT_MASS: 284.3555
CH$SMILES: C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)OC3O[C@]4(C)CCC1C32OO4
CH$IUPAC: InChI=1S/C15H24O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-13,16H,4-7H2,1-3H3/t8-,9-,10?,11+,12+,13?,14+,15?/m1/s1
CH$LINK: CAS 71939-50-9
CH$LINK: CHEMSPIDER 2272104
CH$LINK: INCHIKEY BJDCWCLMFKKGEE-LVSKYXAASA-N
CH$LINK: PUBCHEM CID:44713104
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-6988880000-5dcc1ac152f12cbd3f74
PK$NUM_PEAK: 1854
PK$PEAK: m/z int. rel.int.
  52.0 2.93 2
  52.1 5.69 5
  52.2 8.7 8
  52.3 9.68 9
  53.3 3.97 3
  53.4 6.89 6
  53.5 8.89 8
  53.6 8.0 7
  53.9 2.32 2
  54.0 5.32 5
  54.1 8.83 8
  54.2 9.87 9
  54.3 7.55 7
  54.6 4.11 4
  54.7 7.81 7
  54.8 10.01 9
  54.9 8.89 8
  55.2 4.75 4
  55.3 7.81 7
  55.4 10.15 10
  55.5 9.74 9
  55.6 6.93 6
  56.5 5.79 5
  56.6 9.66 9
  56.7 13.04 13
  56.8 14.32 14
  56.9 14.9 14
  57.0 16.91 16
  57.1 20.12 20
  57.2 22.65 22
  57.3 23.31 23
  57.4 21.9 21
  57.5 17.92 17
  57.6 11.66 11
  59.0 2.53 2
  59.1 5.92 5
  59.2 9.11 9
  59.3 9.26 9
  59.4 6.07 6
  61.0 4.95 4
  61.1 8.39 8
  61.2 10.73 10
  61.3 10.15 10
  62.9 4.91 4
  63.0 7.69 7
  63.1 9.52 9
  63.2 8.48 8
  63.3 5.14 5
  64.2 4.68 4
  64.3 7.6 7
  64.4 9.2 9
  64.5 7.89 7
  64.8 3.0 2
  64.9 5.76 5
  65.0 8.79 8
  65.1 9.89 9
  65.2 8.33 8
  65.5 5.03 5
  65.6 8.1 8
  65.7 9.82 9
  65.8 8.14 8
  66.1 4.04 4
  66.2 7.51 7
  66.3 10.24 10
  66.4 10.49 10
  66.5 8.48 8
  68.0 4.43 4
  68.1 8.37 8
  68.2 11.25 11
  68.3 10.86 10
  68.6 6.4 6
  68.7 9.93 9
  68.8 12.5 12
  68.9 11.46 11
  69.0 7.55 7
  69.3 4.3 4
  69.4 8.8 8
  69.5 13.45 13
  69.6 15.96 15
  69.7 15.68 15
  69.8 13.58 13
  69.9 11.25 11
  70.0 10.08 10
  70.1 10.08 10
  70.2 9.46 9
  70.5 3.68 3
  70.6 8.86 8
  70.7 17.02 17
  70.8 24.07 24
  70.9 26.68 26
  71.0 23.49 23
  71.1 16.22 16
  71.2 9.25 9
  74.4 1.85 1
  74.5 4.95 4
  74.6 7.98 7
  74.7 8.09 8
  74.8 5.24 5
  75.7 3.89 3
  75.8 6.43 6
  75.9 8.45 8
  76.0 8.56 8
  76.1 7.14 7
  76.2 5.79 5
  76.3 5.79 5
  76.4 7.2 7
  76.5 8.79 8
  76.6 8.9 8
  78.9 4.55 4
  79.0 7.75 7
  79.1 9.7 9
  79.2 8.93 8
  79.3 6.09 6
  80.2 3.74 3
  80.3 6.11 6
  80.4 7.66 7
  80.5 7.04 7
  80.6 5.19 5
  80.7 4.7 4
  80.8 7.07 7
  80.9 10.72 10
  81.0 12.31 12
  82.1 4.47 4
  82.2 6.99 6
  82.3 9.08 9
  82.4 8.99 8
  82.5 6.81 6
  83.4 4.27 4
  83.5 6.34 6
  83.6 7.65 7
  83.7 7.22 7
  83.8 5.53 5
  83.9 4.54 4
  84.0 5.86 5
  84.1 8.71 8
  84.2 10.17 10
  84.3 8.22 8
  84.4 4.12 4
  84.6 1.48 1
  84.7 4.38 4
  84.8 7.66 7
  84.9 9.08 9
  85.0 7.74 7
  85.3 4.4 4
  85.4 7.41 7
  85.5 9.68 9
  85.6 9.15 9
  85.7 6.13 6
  87.2 4.8 4
  87.3 9.06 9
  87.4 11.34 11
  87.5 9.67 9
  87.6 7.95 7
  87.7 13.61 13
  87.8 30.74 30
  87.9 53.73 53
  88.0 68.3 68
  88.1 62.93 62
  88.2 40.82 40
  88.3 17.25 17
  88.4 4.49 4
  89.1 2.91 2
  89.2 5.74 5
  89.3 8.08 8
  89.4 7.77 7
  89.5 5.0 4
  91.7 2.51 2
  91.8 5.31 5
  91.9 8.52 8
  92.0 9.42 9
  93.6 4.15 4
  93.7 7.23 7
  93.8 9.49 9
  93.9 9.32 9
  94.0 6.7 6
  95.5 3.22 3
  95.6 5.82 5
  95.7 8.48 8
  95.8 9.02 9
  95.9 7.01 7
  96.8 3.3 3
  96.9 6.46 6
  97.0 9.24 9
  97.1 9.65 9
  97.2 7.51 7
  97.5 4.12 4
  97.6 6.51 6
  97.7 7.74 7
  97.8 6.44 6
  98.1 3.63 3
  98.2 7.08 7
