ACCESSION: NGA00636
RECORD_TITLE: 9(11)-Dehydroglycyrrhetic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 9(11)-Dehydroglycyrrhetic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H46O3
CH$EXACT_MASS: 454.69932000000006
CH$SMILES: CC1(C)C2CC[C@]3(C)C(=CC=C4C5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1O
CH$IUPAC: InChI=1S/C30H46O3/c1-25(2)21-10-13-30(7)22(28(21,5)12-11-23(25)31)9-8-19-20-18-27(4,24(32)33)15-14-26(20,3)16-17-29(19,30)6/h8-9,20-21,23,31H,10-18H2,1-7H3,(H,32,33)/t20?,21?,23-,26+,27-,28-,29+,30+/m0/s1
CH$LINK: CAS 14884-88-9
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0a4i-1920600000-ccbf908b8ca564721898
PK$NUM_PEAK: 207
PK$PEAK: m/z int. rel.int.
  80.7 1.98 1
  80.8 3.48 3
  80.9 5.15 5
  81.0 6.04 6
  81.1 5.55 5
  81.2 4.0 3
  94.5 0.3 0
  94.6 1.92 1
  94.7 6.8 6
  94.8 14.59 14
  94.9 22.03 22
  95.0 24.7 24
  95.1 20.98 20
  95.2 13.66 13
  95.3 7.17 7
  95.4 3.57 3
  106.4 1.56 1
  106.5 3.97 3
  106.6 7.79 7
  106.7 11.06 11
  106.8 11.65 11
  106.9 9.6 9
  118.4 1.69 1
  118.5 3.28 3
  118.6 5.91 5
  118.7 8.59 8
  118.8 9.58 9
  118.9 8.12 8
  119.0 5.39 5
  119.1 3.13 3
  120.2 2.02 2
  120.3 4.44 4
  120.4 7.12 7
  120.5 8.48 8
  120.6 8.45 8
  120.7 9.23 9
  120.8 12.14 12
  120.9 14.87 14
  121.0 13.96 13
  121.1 9.53 9
  121.2 5.06 5
  122.4 1.89 1
  122.5 3.14 3
  122.6 4.97 4
  122.7 6.85 6
  122.8 7.9 7
  122.9 7.54 7
  123.0 5.92 5
  123.1 3.9 3
  134.8 1.62 1
  134.9 3.08 3
  135.0 5.33 5
  135.1 7.29 7
  135.2 7.46 7
  135.3 5.48 5
  135.4 2.71 2
  146.8 2.88 2
  146.9 4.99 4
  147.0 7.55 7
  147.1 8.75 8
  147.2 7.25 7
  147.3 3.94 3
  148.9 2.24 2
  149.0 4.71 4
  149.1 6.88 6
  149.2 6.86 6
  149.3 4.5 4
  160.5 1.23 1
  160.6 2.94 2
  160.7 5.69 5
  160.8 8.49 8
  160.9 10.3 10
  161.0 11.29 11
  161.1 11.92 11
  161.2 11.47 11
  161.3 8.87 8
  161.4 4.82 4
  162.9 3.81 3
  163.0 5.67 5
  163.1 8.14 8
  163.2 10.61 10
