ACCESSION: NGA00674
RECORD_TITLE: Foetoside C; LC-ESI-QQQ; MS2;  Frag=135.0V CID@10.0 ; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: Foetoside C
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C58H94O25
CH$EXACT_MASS: 1191.3808800000002
CH$SMILES: CC1OC(OC2C(OC3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC[C@]45C)C3(C)C)OCC(O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O
CH$IUPAC: InChI=1S/C58H94O25/c1-24-34(62)45(81-48-41(69)35(63)27(60)21-74-48)44(72)50(77-24)82-46-36(64)28(61)22-75-51(46)80-33-12-13-55(6)31(54(33,4)5)11-14-57(8)32(55)10-9-25-26-19-53(2,3)15-17-58(26,18-16-56(25,57)7)52(73)83-49-43(71)40(68)38(66)30(79-49)23-76-47-42(70)39(67)37(65)29(20-59)78-47/h9,24,26-51,59-72H,10-23H2,1-8H3/t24?,26?,27?,28?,29?,30?,31?,32?,33?,34?,35?,36?,37?,38?,39?,40?,41?,42?,43?,44?,45?,46?,47?,48?,49?,50?,51?,55-,56+,57+,58?/m0/s1
CH$LINK: CAS 94483-11-1
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-03di-6889444444-34145a2f4faaff0c6798
PK$NUM_PEAK: 9687
PK$PEAK: m/z int. rel.int.
  50.3 9.23 9
  50.4 12.65 12
  50.5 15.27 15
  50.6 16.8 16
  50.7 17.54 17
  50.8 17.72 17
  50.9 17.17 17
  51.0 15.55 15
  51.1 13.16 13
  51.2 10.85 10
  51.3 9.22 9
  51.5 7.84 7
  51.6 8.66 8
  51.7 11.1 11
  51.8 14.39 14
  51.9 16.8 16
  52.0 16.84 16
  52.1 14.68 14
  52.2 11.83 11
  52.5 9.8 9
  52.6 10.88 10
  52.7 11.96 11
  52.8 12.72 12
  52.9 13.17 13
  53.0 13.46 13
  53.1 13.19 13
  53.4 11.9 11
  53.5 12.94 12
  53.6 13.55 13
  53.7 13.45 13
  53.8 13.3 13
  53.9 13.5 13
  54.0 13.93 13
  54.1 14.37 14
  54.2 14.79 14
  54.3 15.0 14
  54.4 14.46 14
  54.5 12.81 12
  54.6 10.27 10
  54.7 7.7 7
  54.9 6.53 6
  55.0 8.72 8
  55.1 12.04 12
  55.2 15.37 15
  55.3 17.46 17
  55.4 17.59 17
  55.5 15.96 15
  55.6 13.46 13
  55.7 11.04 11
  56.0 10.22 10
  56.1 11.21 11
  56.2 11.7 11
  56.3 12.26 12
  56.4 13.53 13
  56.5 14.82 14
  56.6 14.9 14
  56.7 13.74 13
  56.8 12.3 12
  56.9 11.01 10
  57.2 8.9 8
  57.3 11.75 11
  57.4 15.3 15
