ACCESSION: NGA00676
RECORD_TITLE: Foetoside C; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: Foetoside C
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C58H94O25
CH$EXACT_MASS: 1191.3809
CH$SMILES: CC1OC(OC2C(OC3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC[C@]45C)C3(C)C)OCC(O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O
CH$IUPAC: InChI=1S/C58H94O25/c1-24-34(62)45(81-48-41(69)35(63)27(60)21-74-48)44(72)50(77-24)82-46-36(64)28(61)22-75-51(46)80-33-12-13-55(6)31(54(33,4)5)11-14-57(8)32(55)10-9-25-26-19-53(2,3)15-17-58(26,18-16-56(25,57)7)52(73)83-49-43(71)40(68)38(66)30(79-49)23-76-47-42(70)39(67)37(65)29(20-59)78-47/h9,24,26-51,59-72H,10-23H2,1-8H3/t24?,26?,27?,28?,29?,30?,31?,32?,33?,34?,35?,36?,37?,38?,39?,40?,41?,42?,43?,44?,45?,46?,47?,48?,49?,50?,51?,55-,56+,57+,58?/m0/s1
CH$LINK: CAS 94483-11-1
CH$LINK: INCHIKEY BGKLFKHHSFCDKC-KPHKKTKMSA-N
CH$LINK: PUBCHEM CID:44661022
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-03di-3589333344-aca7132ceb296eab153d
PK$NUM_PEAK: 4822
PK$PEAK: m/z int. rel.int.
  60.1 3.37 3
  60.2 4.36 4
  60.3 5.86 5
  60.4 7.14 7
  60.5 7.33 7
  60.6 6.3 6
  60.7 4.68 4
  61.1 3.52 3
  61.2 5.3 5
  61.3 7.19 7
  61.4 8.29 8
  61.5 8.1 8
  61.6 6.85 6
  67.2 3.71 3
  67.3 5.37 5
  67.4 7.3 7
  67.5 8.4 8
  67.6 8.24 8
  67.7 7.36 7
  67.8 6.53 6
  67.9 6.08 6
  68.0 5.8 5
  68.1 5.42 5
  68.2 4.97 4
  68.3 4.67 4
  68.4 4.57 4
  68.5 4.61 4
  68.6 4.82 4
  68.7 5.12 5
  68.8 5.2 5
  68.9 4.82 4
  69.0 4.15 4
  69.1 3.72 3
  69.2 3.83 3
  69.3 4.48 4
  69.4 5.32 5
  69.5 6.0 5
  69.6 6.28 6
  69.7 6.29 6
  69.8 6.33 6
  69.9 6.4 6
  70.0 6.11 6
  70.9 3.57 3
  71.0 4.7 4
  71.1 6.07 6
  71.2 6.95 6
  71.3 6.9 6
  71.4 6.14 6
  82.1 3.7 3
  82.2 4.88 4
  82.3 6.0 5
  82.4 6.69 6
  82.5 7.0 6
  82.6 7.12 7
  82.7 6.97 6
  82.8 6.27 6
