ACCESSION: NGA00928
RECORD_TITLE: 3-Hydroxy-12-ursen-28-oic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 3-Hydroxy-12-ursen-28-oic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H48O3
CH$EXACT_MASS: 456.7153
CH$SMILES: C[C@@H]1C2C3=CC[C@@H]4[C@@]5(C)CCC(O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CCC2(C(=O)O)CC[C@H]1C
CH$IUPAC: InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23?,24?,27+,28-,29-,30?/m1/s1
CH$LINK: CAS 77-52-1
CH$LINK: CHEMSPIDER 58472
CH$LINK: INCHIKEY WCGUUGGRBIKTOS-MUVOVJNASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-004r-4889880000-f7c8891e237b8b46088a
PK$NUM_PEAK: 3788
PK$PEAK: m/z int. rel.int.
  50.9 5.64 5
  51.0 9.71 9
  51.1 13.79 13
  51.2 15.08 15
  51.3 13.06 13
  52.1 8.08 8
  52.2 10.11 10
  52.3 13.28 13
  52.4 15.31 15
  52.5 14.21 14
  52.6 10.23 10
  52.8 6.3 6
  52.9 10.05 10
  53.0 14.42 14
  53.1 15.84 15
  53.2 13.47 13
  53.3 9.47 9
  53.5 7.62 7
  53.6 10.11 10
  53.7 11.89 11
  53.8 11.74 11
  53.9 10.54 10
  54.0 10.28 10
  54.1 11.99 11
  54.2 14.47 14
  54.3 15.34 15
  54.4 13.17 13
  54.7 9.15 9
  54.8 14.12 14
  54.9 18.01 17
  55.0 16.97 16
  55.1 11.15 11
  55.3 4.08 4
  55.4 9.36 9
  55.5 16.73 16
  55.6 19.89 19
  55.7 16.29 16
  55.8 9.73 9
  56.0 8.92 8
  56.1 13.76 13
  56.2 15.95 15
  56.3 13.51 13
  56.5 6.83 6
  56.6 9.66 9
  56.7 15.59 15
  56.8 19.74 19
  56.9 18.71 18
  57.0 13.76 13
  57.2 8.43 8
  57.3 11.91 11
  57.4 16.59 16
  57.5 18.23 18
  57.6 14.8 14
  57.7 8.64 8
  57.9 5.1 5
  58.0 9.92 9
  58.1 15.11 15
  58.2 16.88 16
  58.3 14.31 14
  58.6 9.38 9
  58.7 12.86 12
  58.8 14.58 14
  58.9 13.18 13
  59.8 6.46 6
  59.9 9.15 9
  60.0 11.88 11
  60.1 12.28 12
  60.2 10.39 10
  60.4 7.72 7
  60.5 10.15 10
  60.6 14.0 13
  60.7 15.94 15
  60.8 13.9 13
  61.7 6.43 6
  61.8 9.26 9
