ACCESSION: NGA00962
RECORD_TITLE: Cycloheximide; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe
COMMENT: SubCategory_DNP: Alkaloids derived from lysine, Piperidine alkaloids
CH$NAME: Cycloheximide
CH$COMPOUND_CLASS: Alkaloids
CH$FORMULA: C15H23NO4
CH$EXACT_MASS: 281.35486000000003
CH$SMILES: CC1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)N=C(O)C2)C1
CH$IUPAC: InChI=1S/C15H23NO4/c1-8-3-9(2)15(20)11(4-8)12(17)5-10-6-13(18)16-14(19)7-10/h8-12,17H,3-7H2,1-2H3,(H,16,18,19)/t8?,9-,11-,12+/m0/s1
CH$LINK: CAS 66-81-9
CH$LINK: PUBCHEM CID:5962
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0002-0790000000-58518cfe6bff07098648
PK$NUM_PEAK: 377
PK$PEAK: m/z int. rel.int.
  94.7 2.75 2
  94.8 4.49 4
  94.9 6.65 6
  95.0 8.76 8
  95.1 10.16 10
  95.2 10.27 10
  95.3 8.84 8
  95.4 6.28 6
  95.5 3.55 3
  106.5 1.86 1
  106.6 3.67 3
  106.7 6.68 6
  106.8 10.3 10
  106.9 13.24 13
  107.0 14.72 14
  107.1 15.09 15
  107.2 15.03 15
  107.3 14.22 14
  107.4 11.56 11
  107.5 7.03 7
  107.6 2.43 2
  120.5 2.14 2
  120.6 3.68 3
  120.7 6.82 6
  120.8 10.96 10
  120.9 14.77 14
  121.0 17.52 17
  121.1 19.1 19
  121.2 19.14 19
  121.3 16.9 16
  121.4 12.35 12
  121.5 6.85 6
  121.6 2.4 2
  122.6 2.44 2
  122.7 4.48 4
  122.8 8.0 7
  122.9 11.5 11
  123.0 13.26 13
  123.1 13.09 13
  123.2 11.89 11
  123.3 9.9 9
  123.4 6.77 6
  123.5 3.18 3
  124.5 2.96 2
  124.6 4.02 4
  124.7 4.96 4
  124.8 6.75 6
  124.9 9.79 9
  125.0 13.05 13
  125.1 14.94 14
  125.2 14.77 14
  125.3 12.76 12
  125.4 9.27 9
  125.5 4.97 4
  137.7 2.95 2
  137.8 5.06 5
  137.9 7.43 7
  138.0 8.86 8
  138.1 8.65 8
  138.2 6.94 6
  138.3 4.48 4
  138.4 2.16 2
  142.6 1.75 1
  142.7 3.45 3
  142.8 6.2 6
  142.9 9.46 9
  143.0 12.03 12
  143.1 12.94 12
  143.2 12.01 11
  143.3 9.7 9
  143.4 6.56 6
  143.5 3.31 3
  144.8 3.19 3
  144.9 4.85 4
  145.0 6.82 6
  145.1 8.03 8
  145.2 7.62 7
  145.3 5.77 5
  145.4 3.38 3
  148.7 2.46 2
  148.8 4.03 4
  148.9 5.29 5
  149.0 5.45 5
  149.1 4.77 4
  149.2 4.13 4
  149.3 3.86 3
  149.4 3.5 3
  149.5 2.69 2
  149.6 1.74 1
  149.7 1.23 1
  149.8 1.31 1
  149.9 1.71 1
  150.0 2.12 2
  150.1 2.39 2
  150.2 2.48 2
  150.3 2.26 2
  150.4 1.66 1
  150.5 0.86 0
  150.6 0.25 0
  150.7 0.07 0
  150.8 0.1 0
  150.9 0.28 0
  151.0 0.57 0
  151.1 0.96 0
  151.2 1.22 1
  151.3 1.13 1
  151.4 0.78 0
  151.5 0.48 0
  151.6 0.37 0
  151.7 0.42 0
  151.8 0.65 0
  151.9 1.07 1
  152.0 1.5 1
  152.1 1.71 1
  152.2 1.67 1
  152.3 1.46 1
  152.4 1.09 1
