ACCESSION: NGA01528
RECORD_TITLE: Lagohirsin; LC-ESI-QQQ; MS2;  Frag=135.0V CID@25.0 ; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Diterpenoids, Lagochilin diterpenoids
CH$NAME: Lagohirsin
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C20H32O5
CH$EXACT_MASS: 352.47504000000004
CH$SMILES: C[C@@H]1CCC2[C@](C)(CC[C@H](O)[C@@]2(C)CO)[C@@]12CCC1(COC(=O)C1)O2
CH$IUPAC: InChI=1S/C20H32O5/c1-13-4-5-14-17(2,11-21)15(22)6-7-18(14,3)20(13)9-8-19(25-20)10-16(23)24-12-19/h13-15,21-22H,4-12H2,1-3H3/t13-,14?,15+,17+,18+,19?,20-/m1/s1
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-001i-0900000000-c8c18fbe4e7bbcd8ca90
PK$NUM_PEAK: 256
PK$PEAK: m/z int. rel.int.
  92.6 2.5 2
  92.7 3.92 3
  92.8 5.24 5
  92.9 6.33 6
  93.0 6.84 6
  93.1 6.21 6
  93.2 4.41 4
  93.3 2.29 2
  94.6 1.44 1
  94.7 3.67 3
  94.8 6.47 6
  94.9 8.52 8
  95.0 9.43 9
  95.1 9.82 9
  95.2 9.78 9
  95.3 8.54 8
  95.4 5.95 5
  95.5 3.1 3
  106.5 2.03 2
  106.6 3.54 3
  106.7 4.76 4
  106.8 5.76 5
  106.9 6.89 6
  107.0 7.85 7
  107.1 7.98 7
  107.2 7.16 7
  107.3 5.65 5
  107.4 3.64 3
  108.6 1.43 1
  108.7 3.58 3
  108.8 5.86 5
  108.9 6.51 6
  109.0 5.2 5
  109.1 3.31 3
  118.6 0.92 0
  118.7 3.47 3
  118.8 6.79 6
  118.9 8.97 8
  119.0 9.1 9
  119.1 7.97 7
  119.2 6.72 6
  119.3 5.51 5
  119.4 3.91 3
  119.5 2.04 2
  120.6 2.62 2
  120.7 4.32 4
  120.8 7.12 7
  120.9 9.24 9
  121.0 9.35 9
  121.1 7.84 7
  121.2 5.75 5
  121.3 3.61 3
  130.7 1.15 1
  130.8 2.91 2
  130.9 4.79 4
  131.0 5.37 5
  131.1 4.14 4
  131.2 2.11 2
  132.3 0.66 0
  132.4 2.56 2
  132.5 6.01 6
  132.6 10.93 10
  132.7 17.99 17
  132.8 29.06 29
  132.9 43.28 43
  133.0 55.4 55
  133.1 60.45 60
  133.2 57.66 57
  133.3 47.99 47
  133.4 32.28 32
  133.5 14.47 14
  133.6 2.12 2
  134.4 0.67 0
