ACCESSION: NGA01929
RECORD_TITLE: Usnone A; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: Usnone A
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C18H16O7
CH$EXACT_MASS: 344.32402
CH$SMILES: CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)[C@@]12C
CH$IUPAC: InChI=1S/C18H16O7/c1-6-14(22)12(8(3)20)16-13(15(6)23)18(4)10(25-16)5-9(21)11(7(2)19)17(18)24/h5,11,22-23H,1-4H3/t11?,18-/m0/s1
CH$LINK: CAS 6159-66-6
CH$LINK: PUBCHEM CID:405880
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0059-0096000000-9acbdaa53c65a6d54a6a
PK$NUM_PEAK: 219
PK$PEAK: m/z int. rel.int.
  186.9 1.61 1
  187.0 3.2 3
  187.1 5.41 5
  187.2 6.44 6
  187.3 5.22 5
  190.7 2.05 2
  190.8 3.69 3
  190.9 5.62 5
  191.0 6.9 6
  191.1 7.14 7
  191.2 6.47 6
  191.3 5.0 4
  200.7 1.82 1
  200.8 3.67 3
  200.9 6.68 6
  201.0 8.96 8
  201.1 8.44 8
  201.2 5.37 5
  214.5 1.58 1
  214.6 5.88 5
  214.7 12.15 12
  214.8 16.42 16
  214.9 16.65 16
  215.0 16.27 16
  215.1 19.17 19
  215.2 22.57 22
  215.3 20.25 20
  215.4 11.74 11
  215.5 3.33 3
  216.6 1.44 1
  216.7 3.33 3
  216.8 6.18 6
  216.9 7.94 7
  217.0 7.02 7
  217.1 4.31 4
  218.5 1.7 1
  218.6 3.61 3
  218.7 5.57 5
  218.8 6.91 6
  218.9 9.42 9
  219.0 14.82 14
  219.1 20.52 20
  219.2 21.34 21
  219.3 15.9 15
  219.4 8.31 8
  219.5 3.08 3
  232.2 2.65 2
  232.3 5.1 5
  232.4 9.59 9
  232.5 15.97 15
  232.6 25.15 25
  232.7 39.35 39
  232.8 58.94 58
  232.9 78.84 78
  233.0 90.6 90
  233.1 89.95 89
  233.2 79.76 79
  233.3 64.04 63
  233.4 43.71 43
  233.5 21.3 21
  233.6 4.15 4
  242.7 3.06 3
  242.8 7.72 7
  242.9 18.24 18
  243.0 26.9 26
  243.1 25.42 25
  243.2 14.99 14
  243.3 4.44 4
  256.5 2.63 2
  256.6 4.12 4
  256.7 8.04 8
  256.8 12.93 12
  256.9 16.91 16
  257.0 20.0 19
  257.1 22.63 22
  257.2 23.06 23
  257.3 18.94 18
  257.4 11.31 11
  257.5 4.34 4
  260.3 0.92 0
  260.4 3.66 3
  260.5 10.25 10
  260.6 17.17 17
  260.7 20.4 20
  260.8 22.29 22
  260.9 30.44 30
  261.0 48.03 47
  261.1 67.5 67
  261.2 75.17 75
  261.3 62.88 62
