ACCESSION: NGA03757
RECORD_TITLE: Podophyllotoxin; LC-ESI-QQQ; MS2; Frag=135.0V CID@5.0; [M+HCOO]-
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Organic chemicals, Polycyclic compounds, Naphthalenes
CH$NAME: Podophyllotoxin
CH$COMPOUND_CLASS: Polycyclic aromatic natural products
CH$FORMULA: C22H22O8
CH$EXACT_MASS: 414.4158
CH$SMILES: COc1cc([C@@H]2c3cc4c(cc3[C@H](O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC
CH$IUPAC: InChI=1S/C22H22O8/c1-25-16-4-10(5-17(26-2)21(16)27-3)18-11-6-14-15(30-9-29-14)7-12(11)20(23)13-8-28-22(24)19(13)18/h4-7,13,18-20,23H,8-9H2,1-3H3/t13?,18-,19+,20+/m1/s1
CH$LINK: CAS 518-28-5
CH$LINK: CHEMSPIDER 10162 4699 24774779 25027419
CH$LINK: INCHIKEY YJGVMLPVUAXIQN-DPUNPDONSA-N
CH$LINK: PUBCHEM CID:6610290
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+HCOO]-
PK$SPLASH: splash10-0a4i-0030910000-06aa4301a841b808754f
PK$NUM_PEAK: 256
PK$PEAK: m/z int. rel.int.
  74.0 5.03 5
  74.1 6.48 6
  74.2 7.56 7
  74.3 7.4 7
  107.9 5.59 5
  108.0 7.01 7
  108.1 8.02 8
  108.2 7.86 7
  192.4 5.14 5
  192.5 6.7 6
  192.6 7.74 7
  192.7 7.38 7
  257.7 4.79 4
  257.8 6.25 6
  257.9 7.16 7
  258.0 6.85 6
  258.1 5.8 5
  258.2 5.13 5
  258.3 5.54 5
  258.4 6.66 6
  258.5 7.45 7
  258.6 7.19 7
  258.7 6.11 6
  258.8 5.14 5
  258.9 5.04 5
  259.0 5.72 5
  259.1 6.41 6
  259.2 6.41 6
  259.3 5.79 5
  259.4 5.19 5
  259.5 5.26 5
  259.6 6.12 6
  259.7 7.22 7
  259.8 7.74 7
  259.9 7.21 7
  269.8 5.11 5
  269.9 6.6 6
  270.0 7.73 7
  270.1 7.6 7
  285.2 5.18 5
  285.3 6.62 6
  285.4 7.58 7
  285.5 7.36 7
  285.6 6.29 6
  285.7 5.3 5
  285.8 5.08 5
  285.9 5.61 5
  286.0 6.32 6
  286.1 6.54 6
  286.2 5.98 5
  286.3 5.11 5
  286.4 4.78 4
  286.5 5.45 5
  286.6 6.62 6
  286.7 7.24 7
  286.8 6.85 6
  286.9 5.96 5
  287.0 5.5 5
  287.1 5.9 5
  287.2 6.72 6
  287.3 7.09 7
  287.4 6.56 6
  287.5 5.51 5
  287.6 4.77 4
  287.7 4.94 4
  287.8 5.92 5
  287.9 6.96 6
  288.0 7.22 7
  288.1 6.47 6
  288.2 5.36 5
  288.3 4.87 4
  288.4 5.37 5
  288.5 6.27 6
  288.6 6.65 6
  288.7 6.14 6
  288.8 5.22 5
  288.9 4.72 4
  289.0 5.1 5
  289.1 6.08 6
  289.2 6.92 6
  289.3 7.06 7
  289.4 6.48 6
  289.5 5.7 5
  289.6 5.35 5
  289.7 5.8 5
  289.8 6.73 6
  289.9 7.32 7
  290.0 6.93 6
  379.9 5.26 5
  380.0 6.61 6
