ACCESSION: NGA04358
RECORD_TITLE: 9,13-Epoxy-3,15,16,18-labdanetetrol; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0; [M+HCOO]-
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Diterpenoids, Labdane diterpenoids
CH$NAME: 9,13-Epoxy-3,15,16,18-labdanetetrol
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C20H36O5
CH$EXACT_MASS: 356.5069
CH$SMILES: C[C@H]1CCC2[C@](C)(CC[C@H](O)[C@@]2(C)CO)[C@@]12CCC(CO)(CCO)O2
CH$IUPAC: InChI=1S/C20H36O5/c1-14-4-5-15-17(2,12-22)16(24)6-7-18(15,3)20(14)9-8-19(13-23,25-20)10-11-21/h14-16,21-24H,4-13H2,1-3H3/t14-,15?,16-,17-,18-,19?,20+/m0/s1
CH$LINK: INCHIKEY XYPPDQHBNJURHU-NSGLWTTCSA-N
CH$LINK: PUBCHEM CID:12304971
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+HCOO]-
PK$SPLASH: splash10-0fri-3988880000-ba283fbb6f31af56b975
PK$NUM_PEAK: 3868
PK$PEAK: m/z int. rel.int.
  50.9 5.45 5
  51.0 7.35 7
  51.1 10.47 10
  51.2 13.09 13
  51.3 13.38 13
  51.6 10.53 10
  51.7 13.07 13
  51.8 14.55 14
  51.9 12.89 12
  52.1 7.51 7
  52.2 10.15 10
  52.3 15.35 15
  52.4 18.09 18
  52.5 15.17 15
  52.6 9.1 9
  52.8 7.26 7
  52.9 11.68 11
  53.0 14.84 14
  53.1 14.93 14
  53.2 12.55 12
  53.4 9.37 9
  53.5 12.8 12
  53.6 17.68 17
  53.7 19.45 19
  53.8 16.32 16
  54.0 9.61 9
  54.1 12.66 12
  54.2 18.29 18
  54.3 22.43 22
  54.4 22.3 22
  54.5 18.04 18
  54.6 12.44 12
  55.3 11.95 11
  55.4 13.18 13
  55.5 14.75 14
  55.6 15.42 15
  55.7 13.96 13
  55.8 10.58 10
  56.0 7.26 7
  56.1 10.69 10
  56.2 15.28 15
  56.3 16.99 16
  56.4 13.74 13
  56.5 7.82 7
  56.7 5.45 5
  56.8 9.84 9
  56.9 13.36 13
  57.0 13.72 13
  57.1 11.18 11
  57.4 8.0 7
  57.5 11.23 11
  57.6 13.13 13
  57.7 12.21 12
  57.8 10.44 10
  57.9 11.18 11
  58.0 15.44 15
  58.1 20.51 20
  58.2 22.39 22
  58.3 19.05 19
  58.4 12.53 12
  58.6 10.4 10
  58.7 17.44 17
  58.8 22.25 22
  58.9 19.3 19
  59.0 10.02 10
  59.2 1.93 1
  59.3 10.09 10
  59.4 19.03 19
  59.5 21.31 21
  59.6 16.38 16
  60.5 6.23 6
  60.6 10.67 10
  60.7 15.84 15
  60.8 17.59 17
  60.9 14.84 14
  61.0 10.49 10
  61.8 7.13 7
  61.9 10.06 10
  62.0 13.31 13
  62.1 14.05 14
  62.2 10.78 10
  62.4 4.68 4
  62.5 8.07 8
  62.6 12.93 12
  62.7 14.7 14
  62.8 12.42 12
  63.0 8.29 8
  63.1 11.23 11
  63.2 15.8 15
  63.3 18.27 18
  63.4 16.72 16
  63.5 12.89 12
  63.7 11.86 11
